eventid_count,year,country,deaths_sum,year,Country,HappinessScore,Freedom,Health_LifeExpectancy,Economy_GDPperCapita,Trust_GovernmentCorruption,country,country_code,year,Intellecutal_Property_Indicator,country,country_code,year,military_expenses
1928,2015,Afghanistan,6216,2015,Afghanistan,3.575,0.23414,0.30335,0.31982,0.09719,Afghanistan,AFG,2015,242475.5418,Afghanistan,AFG,2015,3.83314218682084
4,2015,Albania,0,2015,Albania,4.959,0.35733,0.81325,0.87867,0.06412999999999999,Albania,ALB,2015,24570725.86,Albania,ALB,2015,1.25531897270316
16,2015,Algeria,21,2015,Algeria,5.605,0.28579,0.61766,0.93929,0.17382999999999998,Algeria,DZA,2015,250010594.1,Algeria,DZA,2015,13.687051931271
1,2015,Argentina,0,2015,Argentina,6.574,0.44974,0.78723,1.05351,0.08484,Argentina,ARG,2015,2178066124,Argentina,ARG,2015,2.07504530617381
2,2015,Armenia,0,2015,Armenia,4.35,0.19847,0.7299,0.76821,0.039,Armenia,ARM,2015,NULL,Armenia,ARM,2015,16.0998743250336
14,2015,Australia,2,2015,Australia,7.284,0.65124,0.93156,1.33358,0.35636999999999996,Australia,AUS,2015,3526073729,Australia,AUS,2015,5.22336663201341
18,2015,Bahrain,5,2015,Bahrain,5.96,0.45492,0.74716,1.32376,0.306,Bahrain,BHR,2015,NULL,Bahrain,BHR,2015,12.6711848562748
469,2015,Bangladesh,86,2015,Bangladesh,4.694,0.4082,0.60164,0.39753,0.12569,Bangladesh,BGD,2015,24374495.85,Bangladesh,BGD,2015,10.4900746018225
5,2015,Brazil,3,2015,Brazil,6.983,0.49049,0.69702,0.98124,0.17521,Brazil,BRA,2015,5250459024,Brazil,BRA,2015,3.56623274347308
2,2015,Bulgaria,0,2015,Bulgaria,4.218,0.30587,0.76649,1.01216,0.00872,Bulgaria,BGR,2015,185840000,Bulgaria,BGR,2015,3.48590391342043
6,2015,"Burkina Faso",16,2015,"Burkina Faso",3.587,0.39493,0.27125,0.25812,0.12832000000000002,"Burkina Faso",BFA,2015,233325.0738,"Burkina Faso",BFA,2015,6.14370466177535
102,2015,Burundi,223,2015,Burundi,2.905,0.1185,0.22396,0.0153,0.10062,Burundi,BDI,2015,3244.484641,Burundi,BDI,2015,8.10186140896857
83,2015,Cameroon,931,2015,Cameroon,4.252,0.49309,0.23402,0.4225,0.05786,Cameroon,CMR,2015,7016659.829,Cameroon,CMR,2015,6.03893459831291
5,2015,Canada,0,2015,Canada,7.427,0.63297,0.90563,1.32629,0.32957,Canada,CAN,2015,10730048600,Canada,CAN,2015,2.87172309304713
48,2015,"Central African Republic",171,2015,"Central African Republic",3.678,0.48879,0.06699,0.0785,0.08288999999999999,"Central African Republic",CAF,2015,NULL,"Central African Republic",CAF,2015,11.2814285714286
27,2015,Chad,306,2015,Chad,3.667,0.23501,0.1501,0.34193,0.05269,Chad,TCD,2015,NULL,Chad,TCD,2015,11.8664457407449
1,2015,Chile,0,2015,Chile,6.67,0.44132,0.85857,1.10715,0.12869,Chile,CHL,2015,1557776179,Chile,CHL,2015,7.62207760911094
17,2015,China,123,2015,China,5.14,0.51697,0.81658,0.89012,0.02781,China,CHN,2015,22022366055,China,CHN,2015,6.08881282159957
136,2015,Colombia,104,2015,Colombia,6.477,0.53466,0.69077,0.91861,0.0512,Colombia,COL,2015,471320169,Colombia,COL,2015,10.5098115316171
3,2015,Cyprus,0,2015,Cyprus,5.689,0.40672,0.92356,1.20813,0.06146,Cyprus,CYP,2015,167062381.8,Cyprus,CYP,2015,4.1636389240952
4,2015,"Czech Republic",0,2015,"Czech Republic",6.505,0.46364,0.84483,1.17898,0.02652,"Czech Republic",CZE,2015,1227305475,"Czech Republic",CZE,2015,2.28466022051879
4,2015,Denmark,2,2015,Denmark,7.527,0.64938,0.87464,1.32548,0.48357,Denmark,DNK,2015,1530214735,Denmark,DNK,2015,2.03643686082983
1,2015,Djibouti,0,2015,Djibouti,4.369,0.46074,0.36291,0.44025,0.28105,Djibouti,DJI,2015,NULL,Djibouti,DJI,2015,NULL
1,2015,Ecuador,0,2015,Ecuador,5.975,0.48574,0.79075,0.86402,0.1809,Ecuador,ECU,2015,72456488.63,Ecuador,ECU,2015,6.69254354323405
2,2015,Estonia,0,2015,Estonia,5.429,0.44888,0.77361,1.15174,0.15184,Estonia,EST,2015,43574272.02,Estonia,EST,2015,5.1131498470948
7,2015,Ethiopia,48,2015,Ethiopia,4.512,0.4345,0.44055,0.19073,0.15048,Ethiopia,ETH,2015,3838616.245,Ethiopia,ETH,2015,4.07193137703941
9,2015,Finland,0,2015,Finland,7.406,0.64169,0.88911,1.29025,0.41372,Finland,FIN,2015,832032076.7,Finland,FIN,2015,2.5674747440902
37,2015,France,162,2015,France,6.575,0.55011,0.94579,1.27778,0.20646,France,FRA,2015,15654886216,France,FRA,2015,4.01144703735561
1,2015,Georgia,0,2015,Georgia,4.297,0.40577,0.72926,0.7419,0.38331,Georgia,GEO,2015,6985876.37,Georgia,GEO,2015,8.10501649824706
65,2015,Germany,1,2015,Germany,6.75,0.61477,0.89186,1.32792,0.21843,Germany,DEU,2015,10107361279,Germany,DEU,2015,2.6893174936361
31,2015,Greece,1,2015,Greece,4.857,0.07699,0.88213,1.15406,0.013969999999999998,Greece,GRC,2015,290625614.5,Greece,GRC,2015,4.81951100461484
2,2015,Guinea,1,2015,Guinea,3.656,0.37725,0.24009,0.17417,0.12139000000000001,Guinea,GIN,2015,NULL,Guinea,GIN,2015,11.6015111223731
1,2015,Hungary,0,2015,Hungary,4.8,0.32112,0.75905,1.12094,0.02758,Hungary,HUN,2015,2006471837,Hungary,HUN,2015,1.85971726639704
884,2015,India,387,2015,India,4.565,0.39786,0.51529,0.64499,0.08492000000000001,India,IND,2015,5009034407,India,IND,2015,8.76187525571073
29,2015,Indonesia,22,2015,Indonesia,5.399,0.46611,0.63793,0.82827,0,Indonesia,IDN,2015,1652686736,Indonesia,IDN,2015,5.10847619939048
2751,2015,Iraq,8885,2015,Iraq,4.677,0,0.60237,0.98549,0.13788,Iraq,IRQ,2015,1400000,Iraq,IRQ,2015,12.5600178960559
28,2015,Ireland,0,2015,Ireland,6.94,0.61777,0.89533,1.33596,0.28703,Ireland,IRL,2015,76415902226,Ireland,IRL,2015,1.18946811325748
58,2015,Israel,20,2015,Israel,7.278,0.41319,0.91387,1.22857,0.07785,Israel,ISR,2015,1061600000,Israel,ISR,2015,14.2957172705659
5,2015,Italy,0,2015,Italy,5.948,0.26236,0.95446,1.25114,0.02901,Italy,ITA,2015,4319050930,Italy,ITA,2015,2.74752516157011
10,2015,Japan,0,2015,Japan,5.987,0.49615,0.99111,1.27074,0.1806,Japan,JPN,2015,17033762146,Japan,JPN,2015,2.62251342723565
4,2015,Jordan,7,2015,Jordan,5.192,0.40661,0.69639,0.90198,0.14293,Jordan,JOR,2015,14788732.39,Jordan,JOR,2015,14.8024786986832
71,2015,Kenya,281,2015,Kenya,4.419,0.42215,0.41435,0.36471,0.05839,Kenya,KEN,2015,146182787.7,Kenya,KEN,2015,4.84681875952336
2,2015,Kosovo,0,2015,Kosovo,5.589,0.24749,0.63132,0.80148,0.04741,Kosovo,XKX,2015,1698144.331,Kosovo,XKX,2015,2.87440822704082
1,2015,Kuwait,28,2015,Kuwait,6.295,0.55499,0.72492,1.55422,0.25609,Kuwait,KWT,2015,NULL,Kuwait,KWT,2015,9.20434550786457
44,2015,Lebanon,111,2015,Lebanon,4.839,0.33916,0.83947,1.02564,0.04582,Lebanon,LBN,2015,34392576.1,Lebanon,LBN,2015,16.824278056669
1,2015,Lesotho,1,2015,Lesotho,4.898,0.31767,0.07612,0.37545,0.12504,Lesotho,LSO,2015,3382152.318,Lesotho,LSO,2015,3.57239729076571
543,2015,Libya,689,2015,Libya,5.754,0.41668,0.7038,1.13145,0.11023,Libya,LBY,2015,NULL,Libya,LBY,2015,NULL
5,2015,Malaysia,1,2015,Malaysia,5.77,0.53024,0.72394,1.12486,0.10500999999999999,Malaysia,MYS,2015,1294968669,Malaysia,MYS,2015,6.09810717509492
121,2015,Mali,269,2015,Mali,3.995,0.38857,0.20583,0.26074,0.12352,Mali,MLI,2015,NULL,Mali,MLI,2015,11.2718329002968
1,2015,Malta,0,2015,Malta,6.302,0.60365,0.88721,1.2074,0.13585999999999998,Malta,MLT,2015,678937302.9,Malta,MLT,2015,1.2220041862899
19,2015,Mexico,9,2015,Mexico,7.187,0.48181,0.81444,1.02054,0.21311999999999998,Mexico,MEX,2015,259558175,Mexico,MEX,2015,2.47328412360008
1,2015,Montenegro,0,2015,Montenegro,5.192,0.1826,0.72521,0.97438,0.14296,Montenegro,MNE,2015,3445276.957,Montenegro,MNE,2015,3.03724097098875
1,2015,Morocco,0,2015,Morocco,5.013,0.41691,0.60954,0.73479,0.08546000000000001,Morocco,MAR,2015,95600829.85,Morocco,MAR,2015,10.5206540731217
8,2015,Mozambique,12,2015,Mozambique,4.971,0.34037,0.09131,0.08308,0.15603,Mozambique,MOZ,2015,26793739.52,Mozambique,MOZ,2015,2.81989657389018
37,2015,Myanmar,60,2015,Myanmar,4.307,0.44017,0.48246,0.27108,0.19034,Myanmar,MMR,2015,271948538.3,Myanmar,MMR,2015,17.6274320307951
48,2015,Nepal,0,2015,Nepal,4.514,0.38282,0.56874,0.35997,0.059070000000000004,Nepal,NPL,2015,NULL,Nepal,NPL,2015,7.74278402152009
3,2015,Netherlands,0,2015,Netherlands,7.378,0.61576,0.89284,1.32944,0.31814000000000003,Netherlands,NLD,2015,72122742866,Netherlands,NLD,2015,2.54800451193511
41,2015,Niger,666,2015,Niger,3.845,0.47692,0.29707,0.0694,0.15639,Niger,NER,2015,NULL,Niger,NER,2015,NULL
638,2015,Nigeria,5559,2015,Nigeria,5.268,0.34334,0.16007,0.65435,0.0403,Nigeria,NGA,2015,259310470.4,Nigeria,NGA,2015,3.7601898366268
1243,2015,Pakistan,1608,2015,Pakistan,5.194,0.12102,0.51466,0.59543,0.10464000000000001,Pakistan,PAK,2015,180000000,Pakistan,PAK,2015,17.9623861947681
19,2015,Paraguay,14,2015,Paraguay,5.878,0.53899,0.66098,0.75985,0.08242000000000001,Paraguay,PRY,2015,18500000,Paraguay,PRY,2015,5.58397439592729
10,2015,Peru,6,2015,Peru,5.824,0.41496,0.73017,0.90019,0.05989,Peru,PER,2015,302156767.9,Peru,PER,2015,7.73688901300054
721,2015,Philippines,447,2015,Philippines,5.073,0.62545,0.58114,0.70532,0.12279000000000001,Philippines,PHL,2015,612611626,Philippines,PHL,2015,6.06494954899587
1,2015,Qatar,0,2015,Qatar,6.611,0.6404,0.79733,1.69042,0.52208,Qatar,QAT,2015,NULL,Qatar,QAT,2015,NULL
103,2015,"Saudi Arabia",213,2015,"Saudi Arabia",6.411,0.31048,0.72025,1.39541,0.32524000000000003,"Saudi Arabia",SAU,2015,NULL,"Saudi Arabia",SAU,2015,32.7272636273092
2,2015,Senegal,0,2015,Senegal,3.904,0.36772,0.4354,0.36498,0.10712999999999999,Senegal,SEN,2015,5150397.39,Senegal,SEN,2015,5.26474987673044
